Image,distance_izq,distance_der,lamina,error
1.tif,-0.8500000000000014,-0.09000000000000341,25.0,False
1.tif,-1.1099999999999994,-0.3500000000000014,24.0,False
1.tif,-1.3599999999999994,-0.3500000000000014,23.0,False
1.tif,-1.3599999999999994,-0.3500000000000014,22.0,False
1.tif,-1.1099999999999994,-0.3500000000000014,21.0,False
1.tif,-1.1099999999999994,-0.09000000000000341,20.0,False
1.tif,-1.3599999999999994,-0.09000000000000341,19.0,False
1.tif,-1.3599999999999994,-0.09000000000000341,18.0,False
1.tif,-1.3599999999999994,0.1599999999999966,17.0,False
1.tif,-1.3599999999999994,0.1599999999999966,16.0,False
2.tif,-0.8500000000000014,-0.3500000000000014,25.0,False
2.tif,-1.1099999999999994,-0.3500000000000014,24.0,False
2.tif,-1.3599999999999994,-0.3500000000000014,23.0,False
2.tif,-1.3599999999999994,-0.3500000000000014,22.0,False
2.tif,-1.1099999999999994,-0.3500000000000014,21.0,False
2.tif,-1.1099999999999994,-0.09000000000000341,20.0,False
2.tif,-1.3599999999999994,-0.09000000000000341,19.0,False
2.tif,-1.3599999999999994,-0.09000000000000341,18.0,False
2.tif,-1.3599999999999994,0.1599999999999966,17.0,False
2.tif,-1.3599999999999994,0.1599999999999966,16.0,False
